type,title,cast,country,release_year,rating,duration,listed_in,description
Movie,Effie Gray,"Dakota Fanning, Emma Thompson, Julie Walters, David Suchet, Derek Jacobi, James Fox, Robbie Coltrane, Claudia Cardinale, Greg Wise, Tom Sturridge",United Kingdom,2014,PG-13,109 min,"Dramas, International Movies, Romantic Movies","Trapped in a loveless marriage, the young wife of Victorian-era art critic John Ruskin finds herself falling for an artist — and looking for a way out."
TV Show,Gormiti,"Dermot Arrigan, Jenny Beacraft, Stephanie Figueira, Ella Galt, James Giblin, Noah Levin","Spain, Italy",2018,TV-Y,1 Season,Kids' TV,Four friends become guardians of the island Gorm and must harness powers of the elements to stop an evil lord and his army from ruling the kingdom.
TV Show,Ink Master,"Dave Navarro, Chris Nuñez, Oliver Peck",United States,2012,TV-14,2 Seasons,Reality TV,"Ten of the country's most skilled tattoo artists compete for $100,000 and the title of Ink Master in this high-stakes elimination competition."
Movie,Monster House,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James",United States,2006,PG,91 min,"Children & Family Movies, Comedies","A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own."
Movie,Natalie Palamides: Nate - A One Man Show,Natalie Palamides,United States,2020,TV-MA,60 min,Comedies,"Tough talk takes a soft turn as Nate, played by comedian Natalie Palamides, explores humor, heartbreak, sexuality and consent — with a live audience."
TV Show,Octonauts,"Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth","United States, Ireland, United Kingdom, India",2015,TV-Y,4 Seasons,"British TV Shows, Kids' TV",A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance.
TV Show,Oddbods,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi","United Kingdom, Singapore",2017,TV-Y,1 Season,"Kids' TV, TV Comedies","Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief."
Movie,Peppermint,"Jennifer Garner, John Ortiz, John Gallagher Jr., Juan Pablo Raba, Annie Ilonzeh, Jeff Hephner, Pell James, Method Man, Cailey Fleming, Tyson Ritter","Hong Kong, United States",2018,R,102 min,Action & Adventure,"After her family is murdered, a mild-mannered mom remakes herself into a badass vigilante in order to exact violent justice."
Movie,Quigley Down Under,"Tom Selleck, Laura San Giacomo, Alan Rickman, Chris Haywood, Ron Haddrick, Tony Bonner, Jerome Ehlers, Ben Mendelsohn, Conor McDermottroe, Roger Ward","Australia, United States",1990,PG-13,120 min,Action & Adventure,"After traveling to Australia for a job, a sharpshooting cowboy becomes a target himself when he refuses an immoral assignment from a corrupt landowner."
TV Show,Stargate SG-1,"Richard Dean Anderson, Michael Shanks, Amanda Tapping, Christopher Judge, Don S. Davis, Corin Nemec, Ben Browder, Beau Bridges, Gary Jones","United States, Canada",2006,TV-MA,10 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy.
Movie,The Da Vinci Code,"Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany, Alfred Molina, Jürgen Prochnow, Jean-Yves Berteloot, Etienne Chicot, Jean-Pierre Marielle","United States, Malta, France, United Kingdom",2006,PG-13,149 min,Thrillers,"When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci."
TV Show,The Guest,"Kim Dong-wook, Kim Jae-uk, Jung Eun-chae, Ahn Nae-sang, Lee Won-jong, Park Ho-san",South Korea,2018,TV-14,1 Season,"International TV Shows, TV Horror, TV Mysteries","Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst."
Movie,The Happytime Murders,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Bill Barretta, Leslie David Baker, Joel McHale, Dorien Davies, Cynthy Wu, Michael McDonald, Mitch Silpa","United States, China, Canada",2018,R,91 min,"Action & Adventure, Comedies","In an LA where puppets and humans coexist, a down-on-his-luck detective teams with his ex-partner to nab a killer targeting the cast of an old TV show."
Movie,U-Turn,"Kim Chiu, JM de Guzman, Tony Labrusca, Martin del Rosario, Kate Alejandrino, Miel Espinoza, Janella Salvador, Cris Villanueva, Almira Muhlach, Cris Villonco, Mercedes Cabral, Jerry O'Hara, Simon Ibarra, Alex Medina, Markus Paterson",Philippines,2020,TV-MA,99 min,"Horror Movies, International Movies",A young reporter's investigation into a string of grisly suicides takes a dangerous detour when she follows the clues to a cursed stretch of road.
Movie,Finding Agnes,"Jelson Bay, Sue Ramirez, Sandy Andolong, Roxanne Guinoo, Cheska Iñigo, Hannah Ledesma, Yuan Francisco, Raffa Esplana, Varoon Kessop",Philippines,2020,TV-PG,106 min,"Dramas, International Movies","On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter."
Movie,Rust Creek,"Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman, Micah Hauptman, Daniel R. Hill, Jeremy Glazer, John Marshall Jones, Laura Guzman, Jake Kidwell",United States,2018,R,108 min,Thrillers,A wrong turn in the woods becomes a fight for her life when a career-seeking college student runs into two outlaw brothers looking to cook up trouble.
Movie,Spookley and the Christmas Kittens,"Vlasta Vrana, Sonja Ball, Craig Francis, Richard C. Jones, Michael Perron, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin, Daniel Brochu",United States,2019,TV-Y,45 min,Children & Family Movies,"When a green cat and three stray kittens wind up at Holiday Hill Farm, Spookley the Square Pumpkin and his friends help the felines find their way home."
Movie,The 2nd,"Ryan Phillippe, Casper Van Dien, Jack Griffo, Lexi Simonsen, Richard Burgi, William Katt, Samaire Armstrong, William McNamara, Jacob Grodnik",United States,2020,TV-MA,93 min,Action & Adventure,"A Secret Service agent is drawn into a terrorist plot when his son's classmate, the daughter of a Supreme Court Justice, is targeted for kidnapping."
TV Show,The Uncanny Counter,"Cho Byeong-kyu, Yu Jun-sang, Kim Se-jeong, Yeom Hye-ran, Ahn Seok-hwan, Moon Sook, Choi Yoon-young, Lee Hong-nae",South Korea,2020,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
Movie,A Go! Go! Cory Carson Christmas,"Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse",United States,2020,TV-Y,22 min,Children & Family Movies,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone."
Movie,Dance Dreams: Hot Chocolate Nutcracker,Debbie Allen,United States,2020,TV-PG,81 min,"Children & Family Movies, Documentaries","This documentary spotlights Debbie Allen's career and follows her group of dance students as they prepare for Allen's annual ""Hot Chocolate Nutcracker."""
Movie,Don’t Listen,"Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra, Lucas Blas",Spain,2020,TV-MA,98 min,"Horror Movies, International Movies","After a tragic turn of events at the new home he's fixing up, Daniel hears a ghostly plea for help, spurring him to seek out a famous paranormal expert."
TV Show,Heartbreak High,"Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou, Rel Hunt, Putu Winchester, Salvatore Coco, Barbara Gouskos, Ivar Kants, Stephen O'Rourke, Abi Tucker, Scott Major, Corey Page, Despina Caldis, Deni Gordon, Jon Pollard, Vince Poletto, Andrea Moor, Jeremy Lindsay Taylor, Doris Younane, Tony Martin, Sebastian Goldspink, Katherine Halliday, Marcel Bracks, Nina Liu, Morna Seres, Nathalie Roy, Rebecca Smart, Fleur Beaupert, Alex Dimitriades, Tina Bursill, Peter Sumner, Mario Gamma, Tai Nguyen, Inge Hornstra, Rupert Reid, John Walton, Nick Lathouris, Hugh Baldwin, Sarah Lambert, Jan Adele, Diane Craig, Ian Bliss, Alexandra Brunning, Kym Wilson, Isabella Gutierrez, Simon Baker",Australia,1999,TV-14,7 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",A crash course on the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney.
TV Show,Over Christmas,"Luke Mockridge, Seyneb Saleh, Cristina do Rego, Lucas Reiber, Johanna Gastdorf, Rudolf Kowalski, Carmen-Maja Antoni, Eugen Bauder, Jonathan Kwesi Aikins, Martina Eitner-Acheampong, Eike Weinreich, Eskindir Tesfay",Germany,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Down-and-out musician Bastian battles the blues as he returns home for Christmas and encounters a series of not-so-cheery surprises.
TV Show,Sugar Rush Christmas,"Hunter March, Candace Nelson, Adriano Zumbo",United States,2020,TV-14,2 Seasons,Reality TV,"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking."
Movie,The Beast,"Fabrizio Gifuni, Lino Musella, Monica Piseddu, Andrea Pennacchi, Emanuele Linfatti, Nicolò Galasso, Giacomo Colavito, Giada Gagliardi, Gianmarco Vettori, Silvia Gallerano, Massimiliano Setti",Italy,2020,TV-MA,100 min,"Action & Adventure, International Movies","To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers — and soon becomes a suspect himself."
Movie,The Call,"Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young",South Korea,2020,TV-MA,112 min,"International Movies, Thrillers","Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."
Movie,Fantastica,"Vice Ganda, Richard Gutierrez, Dingdong Dantes, Bela Padilla",Philippines,2018,TV-PG,114 min,"Comedies, International Movies, LGBTQ Movies",The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.
Movie,Larry the Cable Guy: Remain Seated,Larry the Cable Guy,United States,2020,TV-14,68 min,Stand-Up Comedy,"With his signature call to ""Git-R-Done,"" Larry muses on swampy weather, late-night shopping at Walmart and other raunchy tales of life in rural America."
Movie,Mosul,"Suhail Dabbach, Adam Bessa, Is'haq Elias, Qutaiba Abdelhaq, Ahmad El Ghanem, Hicham Ouarqa, Mohimen Mahbuba, Thaer Al-Shayei, Abdellah Bensaid, Faycal Attougui, Mohamed Attougui, Tarik Belmekki, Hayat Kamille, Seema Al Khalidi, Waleed Algadi",United States,2020,TV-MA,103 min,"Action & Adventure, Dramas, International Movies","After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul."
Movie,Unexpectedly Yours,"Sharon Cuneta, Robin Padilla, Julia Barretto, Joshua Garcia, John Estrada, Pilar Pilapil, Marissa Delgado, Maritoni Fernandez",Philippines,2017,TV-14,121 min,"Comedies, International Movies, Romantic Movies","A pair of former batchmates cross paths 30 years later when they wind up as new neighbors, and their reconnection soon blossoms into something more."
Movie,Ghosts of War,"Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson, Billy Zane, Shaun Toub",United Kingdom,2020,R,95 min,Horror Movies,"Five, battle-worn Allied soldiers guarding a chateau previously occupied by Nazis start experiencing unexplained and terrifying supernatural horrors."
TV Show,Great Pretender,"Chiaki Kobayashi, Junichi Suwabe, Natsumi Fujiwara, Mie Sonozaki",Japan,2020,TV-MA,2 Seasons,"Anime Series, Crime TV Shows, International TV Shows","Supposedly Japan's greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook."
Movie,Shawn Mendes: Live in Concert,Shawn Mendes,"United Kingdom, United States",2020,TV-PG,87 min,Music & Musicals,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans."
Movie,The Christmas Chronicles: Part Two,"Kurt Russell, Goldie Hawn, Darby Camp, Jahzir Bruno, Julian Dennison, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson",Canada,2020,PG,115 min,"Children & Family Movies, Comedies","Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas."
Movie,Andhakaaram,"Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",India,2020,TV-14,171 min,"Horror Movies, International Movies, Thrillers","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
TV Show,Before 30,"Damilola Adegbite, O.C. Ukeje, Beverly Naya, Meg Otanwa, Anee Icha, Patrick Diabuah, Tunbosun Aiyedehin, Patrick Doyle",Nigeria,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Four female friends in the fast-paced city of Lagos, Nigeria endure public and private pressures to walk down the aisle by the age of 30."
Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Roshon Fegan, Grey Griffin, Brad Grusnick, Sam Lavagnino, John C. McGinley, Roger Craig Smith",United States,2020,TV-Y,46 min,"Children & Family Movies, Comedies",Snowfall marks the start of Odinyule — the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in.
Movie,Hillbilly Elegy,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",United States,2020,R,117 min,Dramas,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
Movie,Notes for My Son,"Valeria Bertuccelli, Esteban Lamothe, Julián Sorín, Mauricio Dayub, Malena Pichot, Catarina Spinetta, Carla Quevedo, Anita Pauls, Mónica Antonópulos, Paola Barrientos, Ana Katz, Romina Richi, Diego Gentile, Beatriz Spelzini, Diego Reinhold",Argentina,2020,TV-MA,84 min,"Dramas, International Movies","Battling terminal cancer, a woman writes a one of a kind notebook about life, death and love for her son to remember her by. Based on a true story."
TV Show,Valentino,"Adel Imam, Dalal Abdelaziz, Hamdy Al-Merghany, Mohamed al-Kilani, Tarek El Ebiary, Huda El Mufti, Soleiman Eid, Badria Tolba, Reda Idrees, Enaam Al-Gritly, Wafaa Sadeq, Rania Mahmoud Yassin",Egypt,2020,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","As the owner of a group of international schools, a man gets caught in a series of scams as his wife, a principal, rules his life with an iron fist."
Movie,Hard Kill,"Jesse Metcalfe, Bruce Willis, Natalie Eva Marie, Lala Kent, Texas Battle, Swen Temmel, Sergio Rizzuto, Tyler Jon Olson, Jon Galanis",United States,2020,R,98 min,Action & Adventure,"When a billionaire hires a team of mercenaries for protection, they soon realize world-changing technology and his daughter’s life are also at stake."
Movie,Shawn Mendes: In Wonder,Shawn Mendes,United States,2020,TV-MA,83 min,"Documentaries, Music & Musicals","Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future."
TV Show,Strongest Deliveryman,"Ko Kyung-pyo, Chae Soo-bin, Kim Seon-ho, Go Won-hee",South Korea,2017,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Two gutsy food delivery workers strive to overcome their socioeconomic disadvantages to achieve big goals – and bump into love along the way.
Movie,The Suit,"Tamer Hosny, Akram Hosny, Amina Khalil, Dalal Abdelaziz, Maged El-Masri, Yasser Ali Maher, Salwa Mohammed, Mahmoud El-Bezzawy, Hassan Hosny, Taher Abu Lela, Ahmed Zaher",Egypt,2018,TV-14,97 min,"Action & Adventure, Comedies, International Movies","After a duo of slackers dress up as policemen for a costume party, they decide to prolong their disguise — not knowing that it will lead them to danger."
Movie,Dolly Parton’s Christmas on the Square,"Dolly Parton, Christine Baranski, Treat Williams, Jenifer Lewis, Josh Segarra, Jeanine Mason, Mary Lane Haskell",United States,2020,TV-PG,99 min,"Children & Family Movies, Music & Musicals","Seasonal cheer comes to a screeching halt when a cold-hearted woman tries to sell her hometown's land. Can music, magic and memories change her mind?"
Movie,Machete Kills,"Danny Trejo, Sofía Vergara, Charlie Sheen, Michelle Rodriguez, Demián Bichir, Amber Heard, Mel Gibson, William Sadler, Alexa PenaVega, Antonio Banderas, Lady Gaga, Cuba Gooding Jr., Jessica Alba, Walton Goggins, Vanessa Hudgens","United States, Russia",2013,R,108 min,Action & Adventure,Killer-for-hire Machete cuts a deal with the U.S. president to stop a nuclear missile attack but discovers a much larger conspiracy.
Movie,40 Sticks,"Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya",Kenya,2019,TV-14,93 min,"International Movies, Thrillers","When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer."
Movie,Alien Xmas,"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson",United States,2020,TV-Y,42 min,Children & Family Movies,"A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth's gravity — and steal all the presents."
TV Show,Flavorful Origins,Yang Chen,China,2020,TV-G,3 Seasons,"Docuseries, International TV Shows","Delve into the delectable world of Chaoshan cuisine, explore its unique ingredients and hear the stories of the people behind its creation."
TV Show,Mismatched,"Prajakta Koli, Rohit Saraf, Vihaan Samat, Taaruk Raina, Vidya Malavade, Kritika Bharadwaj, Rannvijay Singh, Muskkaan Jaferi, Devyani Shorey, Suhasini Mulay, Abhinav Sharma, Ravin Makhija",India,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","After a disastrous set-up by their families, two teens strike up a tentative friendship at their summer program — but deeper feelings aren’t far behind."
Movie,The App That Stole Christmas,"Jackie Long, Diane Marie Howard, Jaylin Hall, Miguel A. Núñez Jr., Ray J, JayQ The Legend, J. Anthony Brown, Kenny Rhodes, Amber Cosich",United States,2020,TV-PG,64 min,"Children & Family Movies, Comedies","A tech entrepreneur's Christmas shopping app is a smashing success, but he starts to realize his invention might be ruining the holiday spirit."
TV Show,Voices of Fire,Pharrell Williams,United States,2020,TV-PG,1 Season,"Docuseries, Reality TV","In this faith-based docuseries, Bishop Ezekiel Williams builds an inspiring, nontraditional gospel choir with the help of superstar nephew Pharrell."
Movie,Black Friday,"Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun",India,2004,TV-MA,162 min,"Dramas, International Movies",This docudrama based on the same-titled book tracks the aftermath of a 1993 bombing in Bombay through the eyes of a journalist covering the story.
Movie,Bodyguard,"Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",India,2011,TV-14,130 min,"Action & Adventure, Comedies, International Movies","Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
Movie,Break Ke Baad,"Imran Khan, Deepika Padukone, Shahana Goswami, Lillete Dubey, Sharmila Tagore, Navin Nischol, Parzan Dastur, Neelu Kohli, Ziyah Vastani, Yudhishtir Urs, Grady McGahan",India,2010,TV-14,108 min,"Comedies, International Movies, Music & Musicals",Childhood friends Abhay and Aaliya experience plenty of obstacles in their paths as they find their way in the world and back to each other.
Movie,Hawaizaada,"Ayushmann Khurrana, Mithun Chakraborty, Pallavi Sharda, Naman Jain, Jameel Khan",India,2015,TV-14,129 min,"Dramas, International Movies, Romantic Movies","In 1895 Mumbai, spirited Indian lad Shiv Talpade defies British rule and sparse funding – and physics – to build the world's first airplane."
Movie,My Amnesia Girl,"John Lloyd Cruz, Toni Gonzaga, Carlos Agassi, Ketchup Eusebio, Joross Gamboa, JM de Guzman, Beatriz Saw, Nico Antonio",Philippines,2010,TV-14,105 min,"International Movies, Romantic Movies","Years after leaving his bride-to-be at the altar, a man crosses paths with his ex and tries to make up for the past, only to find he's been forgotten."
Movie,Raman Raghav 2.0,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra, Anuschka Sawhney, Vipin Sharma, Deepali Suryakant Badekar, Ashok Lokhande, Harssh Singh, Rajesh Jais, Hitesh Dave",India,2016,TV-MA,133 min,"International Movies, Thrillers",A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller.
Movie,Singham,"Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni, Sachin Khedekar, Sudhanshu Pandey, Anant Jog",India,2011,TV-14,142 min,"Action & Adventure, Dramas, International Movies",A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham.
Movie,TE3N,"Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Mukesh Chhabra, Sabyasachi Chakraborty, Prakash Belawadi, Tota Roy Chowdhury, Padmavati Rao, Suneel Sinha",India,2016,TV-14,128 min,"Dramas, International Movies, Thrillers","Still desperate to find his granddaughter nearly a decade after her kidnapping, a devoted grandfather chases a dangerous new lead."
Movie,The Princess Switch: Switched Again,"Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann",United States,2020,TV-G,97 min,"Children & Family Movies, Comedies, Dramas","When Margaret's Christmas coronation complicates her love life, her double Stacy steps in to save the day. But will a third look-alike ruin their plan?"
Movie,Three Words to Forever,"Sharon Cuneta, Richard Gomez, Kathryn Bernardo, Liza Lorena, Freddie Webb, Tommy Esguerra, Joross Gamboa, Tobie Dela Cruz",Philippines,2018,TV-G,107 min,"Comedies, Dramas, International Movies","As they near their 25th wedding anniversary, Rick and Cristy try to conceal their crumbling marriage while their family prepares for a big celebration."
Movie,Well Done Abba,"Boman Irani, Minissha Lamba, Sammir Dattani, Ila Arun, Ravi Kishan, Sonali Kulkarni, Rajit Kapoor, Ravi Jhankal, Yashpal Sharma, Rajendra Gupta",India,2009,TV-14,135 min,"Comedies, International Movies","On leave in his drought-ridden village to find his daughter a husband, a father becomes mired in the bribery-laced bureaucracy of his local government."
TV Show,Holiday Home Makeover with Mr. Christmas,Benjamin Bradley,United States,2020,TV-G,1 Season,Reality TV,"Interior designer Benjamin “Mr. Christmas” Bradley works with a trusty team of ""elves” to help families transform their homes for the holidays."
Movie,Ainu Mosir,"Kanto Shimokura, Debo Akibe, Emi Shimokura, Toko Miura, Lily Franky","United States, Japan",2020,TV-PG,84 min,"Dramas, International Movies",A sensitive Ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.
Movie,Kevin Hart: Zero F**ks Given,Kevin Hart,United States,2020,TV-MA,70 min,Stand-Up Comedy,"Kevin Hart serves up laughs and brick oven pizza from the comfort of his home, and dishes on male group chats, sex after 40 and life with COVID-19."
TV Show,The Boss Baby: Back in Business,"JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan",United States,2020,TV-Y7,4 Seasons,"Kids' TV, TV Comedies",The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.
Movie,Loving,"Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Terri Abney, Alano Miller, Jon Bass, Bill Camp, David Jensen","United Kingdom, United States",2016,PG-13,124 min,"Dramas, Romantic Movies",A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.
Movie,A Very Country Christmas,"Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack","United States, Canada",2017,TV-G,84 min,"Music & Musicals, Romantic Movies","When an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart."
TV Show,America's Next Top Model,Tyra Banks,United States,2013,TV-14,2 Seasons,Reality TV,Supermodel Tyra Banks created and executive-produced this reality series that chronicles the transformation of young women into potential supermodels.
TV Show,Beyblade Burst Rise,"Erika Harlacher, Griffin Puatu, Kimlinh Tran, Taylor Henry, Janice Roman Roku, Brian Anderson",Japan,2019,TV-Y,1 Season,"Anime Series, Kids' TV","After training with legendary Valt Aoi, Dante and his trusty Ace Dragon lead the next generation of Bladers to battle in Japan — Beyblade's birthplace."
Movie,Cloudy with a Chance of Meatballs 2,"Bill Hader, Anna Faris, James Caan, Will Forte, Andy Samberg, Benjamin Bratt, Neil Patrick Harris, Terry Crews, Kristen Schaal",United States,2013,PG,95 min,"Children & Family Movies, Comedies","Inventor Flint Lockwood battles mutant food beasts created by his notorious machine, including shrimpanzees, tacodiles and jellyfish sandwiches."
Movie,Hometown Holiday,"Sarah Troyer, Bradley Hamilton, Kevin McGarry, Samantha Gracie",Canada,2018,TV-G,84 min,Romantic Movies,"An ambitious entertainment lawyer tries to sign a singing sensation in his sister's small town, but a local soon captures his attention — and heart."
TV Show,Polly Pocket,"Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy","Canada, United States, Ireland",2021,TV-Y,2 Seasons,Kids' TV,"After uncovering a magical locket that allows her to shrink in size, Polly and her friends set out on big adventures with petite power."
TV Show,Survivor,"Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson",United States,2014,TV-14,2 Seasons,Reality TV,"In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor."
TV Show,The Crown,"Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser","United Kingdom, United States",2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
Movie,White Christmas,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",United States,1954,TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies","Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."
Movie,Killer Cove,"Haley Webb, Donny Boaz, Cathy Baron, Jason Alan Smith, Dennis Staroselsky, Owen Miller, Shawn Fitzgibbon",United States,2019,TV-14,87 min,Thrillers,"An unlucky woman finds a solution for her hateful ex, a trying job hunt and a stalker through a charming P.I. – only to endure a new set of problems."
